PartitionKey,RowKey,Timestamp,eventId,eventId@type,roomId,roomId@type,userId,userId@type
Conf Room 100,0025e1bc-e0b4-428c-b1bb-a1827310655b,2021-06-30T02:16:50.687Z,9951dac0-9f81-4998-93cf-bb0e62cd22ea,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,iron.man@marvel.onmicrosoft.com,Edm.String
Conf Room 100,2a15097b-2b42-42cd-bb8c-b6b3cc771231,2021-06-30T02:17:16.752Z,90aeacc5-fdfc-49ef-a345-db3602f38b5d,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,black.panther@marvel.onmicrosoft.com,Edm.String
Conf Room 100,2f697c62-5e96-4a6e-aa8a-42fd950dc616,2021-06-30T02:16:28.475Z,029cc280-966a-464d-aa50-a0953debecda,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,iron.man@marvel.onmicrosoft.com,Edm.String
Conf Room 100,382e62af-4f64-43b4-8243-3ec13abddeff,2021-06-30T02:17:16.788Z,90aeacc5-fdfc-49ef-a345-db3602f38b5d,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,superman@dccomics.onmicrosoft.com,Edm.String
Conf Room 100,3e6c11b9-5e63-41bf-905d-97e2e14c907c,2021-06-30T02:16:28.570Z,029cc280-966a-464d-aa50-a0953debecda,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,black.panther@marvel.onmicrosoft.com,Edm.String
Conf Room 100,4ef84863-9982-4226-907a-e0817dde9a3f,2021-06-30T02:16:42.421Z,ebad1ce0-3754-4c5b-bd2a-37641a19bdc6,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,black.panther@marvel.onmicrosoft.com,Edm.String
Conf Room 100,4fe4f19d-03fc-43e9-b5c5-4807358fbed5,2021-06-30T02:16:50.657Z,9951dac0-9f81-4998-93cf-bb0e62cd22ea,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,black.panther@marvel.onmicrosoft.com,Edm.String
Conf Room 100,509dfc29-c3f3-4e1d-8b6e-c37050fe5d65,2021-06-30T02:16:28.541Z,029cc280-966a-464d-aa50-a0953debecda,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,superman@dccomics.onmicrosoft.com,Edm.String
Conf Room 100,6f0935fc-6de2-45b8-8e54-2310ffb8dbab,2021-06-30T02:16:28.506Z,029cc280-966a-464d-aa50-a0953debecda,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,batman@dccomics.onmicrosoft.com,Edm.String
Conf Room 100,9ac53bd0-546b-463a-bdce-c645085f5d15,2021-06-30T02:17:16.719Z,90aeacc5-fdfc-49ef-a345-db3602f38b5d,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,batman@dccomics.onmicrosoft.com,Edm.String
Conf Room 100,e7d2f909-6013-4826-80a9-3e7d55c86d9a,2021-06-30T02:16:42.452Z,ebad1ce0-3754-4c5b-bd2a-37641a19bdc6,Edm.String,3162F1E1-C4C0-604B-51D8-91DA78989EB1,Edm.String,superman@dccomics.onmicrosoft.com,Edm.String
